FISH_ID,SPECIES,LOCATION,GENDER,LENGTH,WEIGHT,AGE_O,REIDAR_O,AGE_S,STAGE,COLOUR,WEBWIDTH,WEBTYPE,DIET_IMAGE,DIET,DAY,MONTH,YEAR,PARASITE,NOTE,
7,Ørret,Sandvatn,male,40.3,654,16,NA,NA,5,H,39,BG,NA,NA,22,8,2017,NA,,
16,Ørret,Sandvatn,male,38.5,578,17,NA,NA,5,H,19.5,BG,NA,NA,23,8,2017,NA,,
20,Ørret,Sandvatn,male,40,670,18,NA,NA,5,H,35,BG,NA,NA,23,8,2017,NA,,
27,Røye,Sandvatn,male,25.5,172,6,NA,NA,1,LR,26,BG,NA,NA,23,8,2017,NA,,
29,Ørret,Sandvatn,male,25.5,174,6,NA,NA,5,H,29,BG,NA,NA,24,8,2017,NA,,
37,Ørret,Sandvatn,male,46,678,19,NA,NA,1,H,35,BG,NA,NA,25,8,2017,NA,,
21,Ørret,Sandvatn,female,33.5,444,9,NA,8,3,LR,35,BG,NA,NA,23,8,2017,NA,,
44,Røye,Sandvatn,female,21.5,100,3,NA,3,3,LR,22.5,BG,NA,NA,24,8,2017,NA,,
24,Røye,Sandvatn,male,21.5,98,3,NA,3,NA,LR,19.5,BG,NA,NA,23,8,2017,NA,,
42,Røye,Sandvatn,male,19,98,3,NA,3,2,LR,24,BG,NA,NA,24,8,2017,NA,,
39,Røye,Sandvatn,male,21.5,96,3,NA,3,5,LR,22.5,BG,NA,NA,24,8,2017,NA,,
35,Røye,Sandvatn,male,20,88,7,NA,NA,NA,H,19.5,BG,NA,NA,23,8,2017,NA,,
30,Røye,Sandvatn,male,24,158,3,NA,3,5,LR,26,BG,NA,NA,23,8,2017,NA,,
43,Ørret,Sandvatn,female,38,572,12,NA,NA,5,LR,39,BG,NA,NA,24,8,2017,NA,,
31,Røye,Sandvatn,male,22.5,124,3,NA,NA,NA,H,26,BG,NA,NA,23,8,2017,NA,,
26,Røye,Sandvatn,female,23,126,6,NA,NA,5,R,26,BG,NA,NA,23,8,2017,NA,,
36,Røye,Sandvatn,male,15,30,2,NA,2,NA,H,16.5,BG,NA,NA,24,8,2017,NA,,
40,Røye,Sandvatn,male,27.5,238,12,NA,NA,5,LR,35,BG,NA,NA,25,8,2017,YES,,
19,Røye,Sandvatn,male,26,184,NA,NA,5,5,LR,31,BG,NA,NA,23,8,2017,NA,,
22,Røye,Sandvatn,female,20,88,NA,NA,3,3,R,19.5,BG,NA,NA,23,8,2017,NA,,
23,Røye,Sandvatn,male,25.5,168,5,NA,NA,NA,LR,19.5,BG,NA,NA,23,8,2017,NA,,
43,Ørret,Sandvatn,female,38,572,12,NA,NA,5,LR,39,BG,NA,NA,24,8,2017,NA,,
4,Røye,Sandvatn,male,26,172,7,NA,NA,1,R,24,BG,NA,NA,22,8,2017,NA,,
25,Røye,Sandvatn,male,46,16.7,3,NA,NA,NA,H,19.5,BG,NA,NA,23,8,2017,NA,,
5,Røye,Sandvatn,male,21.5,98,5,NA,NA,2,LR,24,BG,NA,NA,22,8,2017,NA,,
2,Røye,Sandvatn,female,24,168,4,NA,NA,5,LR,29,BG,NA,NA,22,8,2017,NA,,
6,Røye,Sandvatn,male,20.5,98,4,NA,NA,1,LR,24,BG,NA,NA,22,8,2017,NA,,
13,Røye,Sandvatn,female,20.5,94,5,NA,NA,NA,LR,22.5,BG,NA,NA,22,8,2017,NA,,
8,Røye,Sandvatn,male,20.4,92,4,NA,NA,1,LR,24,BG,NA,NA,22,8,2017,NA,,
11,Røye,Sandvatn,female,20.15,106,4,NA,NA,2,LR,22.5,BG,NA,NA,22,8,2017,NA,,
9,Røye,Sandvatn,female,16.2,42,3,NA,NA,2,LR,16.5,BG,NA,NA,22,8,2017,NA,,
38,Røye,Sandvatn,female,13.5,28,2,NA,NA,2,H,16.5,BG,NA,NA,24,8,2017,NA,,
15,Røye,Sandvatn,male,21,90,5,NA,NA,1,H,22.5,BG,NA,NA,22,8,2017,NA,,
10,Røye,Sandvatn,female,21.1,96,4,NA,NA,3,H,22.5,BG,NA,NA,22,8,2017,NA,,
32,Røye,Sandvatn,female,21.5,132,5,NA,NA,3,LR,26,BG,NA,NA,23,8,2017,NA,,
3,Røye,Sandvatn,female,21,98,5,NA,NA,5,LR,24,BG,NA,NA,22,8,2017,NA,,
14,Røye,Sandvatn,male,21.5,112,5,NA,NA,1,LR,22.5,BG,NA,NA,22,8,2017,NA,,
12,Røye,Sandvatn,female,22,92,4,NA,NA,3,LR,22.5,BG,NA,NA,22,8,2017,NA,,
17,Røye,Sandvatn,female,20,88,4,NA,NA,2,LR,22.5,BG,NA,NA,22,8,2017,NA,,
30,Røye,Sandvatn,male,24,158,3,NA,NA,5,LR,26,BG,NA,NA,23,8,2017,NA,,
18,Røye,Sandvatn,female,29,240,NA,NA,NA,5,R,31,BG,NA,NA,23,8,2017,NA,“otolitt,uleselig”
31,Røye,Sandvatn,male,22.5,124,3,NA,NA,NA,H,26,BG,NA,NA,23,8,2017,NA,,
34,Ørret,Sandvatn,female,28,224,4,NA,NA,5,LR,26,BG,NA,NA,23,8,2017,NA,,
1,Røye,Sandvatn,male,26.5,228,5,NA,NA,5,LR,24,BG,NA,NA,22,8,2017,NA,,
45,Røye,Sandvatn,female,26.5,196,NA,NA,NA,5,LR,29,BG,NA,NA,24,8,2017,NA,“knuste,otolitter”
41,Ørret,Sandvatn,female,17,56,3,NA,NA,2,H,19.5,BG,NA,NA,25,8,2017,NA,,
28,Røye,Sandvatn,male,21,91,NA,NA,NA,1,H,19.5,BG,NA,NA,23,8,2017,NA,“ingen,otolitt”
14,Ørret,Sandvatn,male,29,278,6,NA,6,5,LR,31,BG,1217,NA,23,8,2018,NA,,
5,Ørret,Sandvatn,female,29,256,5,NA,5,5,LR,26,BG,1120,NA,21,8,2018,NA,,
1,Ørret,Sandvatn,male,32,358,NA,7,7,5,LR,26,BG,1116,NA,21,8,2018,NA,,
8,Ørret,Sandvatn,male,32,370,5,NA,5,5,R,35,BG,1153,NA,22,8,2018,NA,,
4,Ørret,Sandvatn,male,26,168,8,NA,4,5,LR,26,BG,1132,NA,21,8,2018,NA,,
18,Ørret,Sandvatn,male,27,184,4,NA,4,5,LR,26,BG,NA,NA,23,8,2018,NA,,
28,Ørret,Sandvatn,male,19,72,3,NA,3,5,LR,19.5,BG,1332,NA,24,8,2018,NA,,
3,Røye,Sandvatn,male,26,200,5,NA,NA,5,R,31,BG,NA,NA,21,8,2018,YES,,
10,Ørret,Sandvatn,male,26,184,4,NA,4,3,LR,24,BG,1175,NA,22,8,2018,NA,,
13,Røye,Sandvatn,male,32,286,NA,12,NA,5,LR,31,BG,1213,NA,23,8,2018,NA,,
9,Ørret,Sandvatn,male,24.9,164,NA,NA,4,5,LR,29,BG,1166,NA,22,8,2018,NA,,
7,Røye,Sandvatn,male,27,216,7,NA,5,5,LR,31,BG,NA,NA,21,8,2018,NA,,
26,Ørret,Sandvatn,female,28.5,268,5,NA,5,5,R,24,BG,1327,NA,24,8,2018,NA,,
16,Røye,Sandvatn,male,25,162,NA,NA,NA,1,LR,26,BG,1222,NA,23,8,2018,NA,,
11,Røye,Sandvatn,male,28.5,284,4,NA,4,5,LR,29,BG,1164,NA,22,8,2018,NA,,
23,Ørret,Sandvatn,male,24,144,4,NA,4,5,LR,22.5,BG,NA,NA,23,8,2018,NA,,
2,Røye,Sandvatn,female,27,188,5,NA,NA,5,H,31,BG,1182,Tom,21,8,2018,YES,,
19,Ørret,Sandvatn,female,16,36,NA,2,2,2,H,16.5,BG,NA,NA,23,8,2018,NA,,
29,Ørret,Sandvatn,male,26,212,5,NA,4,5,R,26,BG,1338,NA,24,8,2018,NA,,
6,Ørret,Sandvatn,male,18.5,78,NA,NA,4,5,H,22.5,BG,1126,NA,21,8,2018,NA,,
17,Røye,Sandvatn,female,24.5,152,NA,4,NA,5,R,26,BG,1228,NA,23,8,2018,NA,,
20,Røye,Sandvatn,male,21.5,152,NA,3,NA,3,LR,26,BG,1235,NA,23,8,2018,NA,,
15,Røye,Sandvatn,male,26,212,NA,6,NA,5,LR,31,BG,1227,NA,23,8,2018,NA,,
25,Røye,Sandvatn,male,23,132,NA,6,NA,4,NA,26,BG,1250,NA,23,8,2018,NA,,
21,Røye,Sandvatn,female,23.5,146,NA,5,NA,3,LR,26,BG,1243,NA,23,8,2018,YES,Rundorm,
22,Røye,Sandvatn,male,23,144,NA,5,NA,3,LR,26,BG,1241,NA,23,8,2018,NA,,
24,Røye,Sandvatn,female,20.5,96,NA,5,NA,2,R,22.5,BG,1247,NA,23,8,2018,NA,,
27,Røye,Sandvatn,male,17.5,56,NA,4,NA,2,H,19.5,BG,1335,NA,24,8,2018,NA,,
12,Røye,Sandvatn,male,20.5,102,NA,5,NA,1,R,24,BG,NA,NA,22,8,2018,NA,,
